Epoch,Train_MSE,Val_MSE,Learning_Rate
1,0.0029137472054431178,0.00043477065447303736,0.0006
2,0.0001044585681416555,6.466263076561213e-05,0.0006
3,6.983598918568716e-05,0.00020361026789290812,0.0006
4,5.392462823668221e-05,6.699554417892896e-05,0.0006
5,4.4490950798712416e-05,0.00011889911894083101,0.0006
6,3.556908458813171e-05,1.0499713335282604e-05,0.0006
7,3.141774420789891e-05,2.256399373834017e-05,0.0006
8,2.8760430159297833e-05,1.4469362623635792e-05,0.0006
9,2.531405698352368e-05,2.337804247695944e-05,0.0006
10,2.4477412985696313e-05,1.4196223357880711e-05,0.0006
11,2.2801526684301407e-05,6.025335879549002e-05,0.0006
12,2.1489543530306755e-05,4.6691031921541586e-05,0.0006
13,2.0585983436678453e-05,5.4053025978346596e-05,0.0006
14,1.927387190180624e-05,1.5698976566693794e-05,0.0006
15,1.900715923713519e-05,2.3503731210020116e-05,0.0006
16,1.857323858653355e-05,1.8064523857686347e-05,0.0006
17,1.7456543657982517e-05,1.825250542704909e-05,0.0006
18,1.721702452975373e-05,3.136852816281101e-05,0.0006
19,1.729284425199157e-05,1.497039735623303e-05,0.0006
20,1.6374490259965467e-05,5.843650677357787e-05,0.0006
21,1.5593883856720815e-05,4.886982444890573e-06,0.0006
22,1.5210214927196795e-05,5.592718217948215e-05,0.0006
23,1.554240579807379e-05,2.4529877402065345e-05,0.0006
24,1.5107982187055633e-05,4.806443956770206e-06,0.0006
25,1.5153084255128338e-05,9.381495237101735e-06,0.0006
26,1.495967826791666e-05,2.273407365628032e-05,0.0006
27,1.5306572530974557e-05,1.0138946697996617e-05,0.0006
28,1.4559302056469901e-05,3.853887056843007e-05,0.0006
29,1.4218105866326168e-05,5.70609563372739e-06,0.0006
30,1.4523381044863044e-05,2.7505130648847533e-05,0.0006
31,1.464226581031876e-05,5.3538805410882085e-06,0.0006
32,1.4019530988275804e-05,5.960355077784911e-06,0.0006
33,1.4217846699597656e-05,8.017511910143659e-06,0.0006
34,1.3513770265690514e-05,3.636562126718194e-05,0.0006
35,1.3847175176384588e-05,4.8918814040994045e-05,0.0006
36,1.396929588027865e-05,5.667254904472774e-06,0.0006
37,1.3765011450318186e-05,3.344264279153169e-05,0.0006
38,1.4429358151995146e-05,5.395071738187121e-06,0.0006
39,1.3440112194181442e-05,8.59831967051948e-06,0.0006
40,1.3206561163730928e-05,1.2558541718362321e-05,0.00035999999999999997
41,4.92605981453106e-06,7.917388740673836e-06,0.00035999999999999997
42,5.2206078536316876e-06,1.3983874615824977e-06,0.00035999999999999997
43,4.9943132717304644e-06,2.609680860544088e-06,0.00035999999999999997
44,5.021104103567648e-06,6.974302970213382e-06,0.00035999999999999997
45,4.878183855238359e-06,5.982711762693965e-06,0.00035999999999999997
46,4.83278453946849e-06,9.390928891520834e-07,0.00035999999999999997
47,4.757201778602313e-06,1.8826762510528726e-06,0.00035999999999999997
48,4.652265156706938e-06,1.9681094498755302e-06,0.00035999999999999997
49,4.827611438998847e-06,3.720861307559448e-06,0.00035999999999999997
50,4.765931676986064e-06,6.990565938076497e-06,0.00035999999999999997
51,4.686490563245909e-06,1.4514934619160226e-05,0.00035999999999999997
52,4.987742474348128e-06,3.578277565982033e-06,0.00035999999999999997
53,4.796878267239293e-06,1.6469262009339268e-05,0.00035999999999999997
54,4.89197124219045e-06,3.664562366340597e-06,0.00035999999999999997
55,4.9083288925395586e-06,4.0874879739494525e-06,0.00035999999999999997
56,4.783314786606766e-06,1.172701898764893e-05,0.00035999999999999997
57,4.731673620395493e-06,3.7798271373885915e-06,0.00035999999999999997
58,4.830288055989176e-06,9.141073726670705e-07,0.00035999999999999997
59,4.497291736211769e-06,1.9560113615385335e-05,0.00035999999999999997
60,4.839373094500153e-06,7.78386639142985e-06,0.00035999999999999997
61,4.9086998412604015e-06,4.152991631975091e-05,0.00035999999999999997
62,4.686873592960248e-06,3.1533041949171433e-06,0.00035999999999999997
63,4.762908669456908e-06,8.128431409585076e-07,0.00035999999999999997
